"Año","Mes","Puesto de Peaje","Liviano","Medianos","Cuatro Ejes","Furgón","Motocicletas","Autobus","Total"
"2019","Diciembre ","Zurquí","130538","17202","","20025","6138","6754","180657"
"2019","Noviembre ","Zurquí","123827","19236","","22720","6358","6419","178560"
"2019","Octubre   ","Zurquí","129135","20584","","23092","6559","5786","185156"
"2019","Setiembre ","Zurquí","121415","20193","","22538","6450","5375","175971"
"2019","Agosto    ","Zurquí","128222","19577","","22655","6225","5945","182624"
"2019","Julio     ","Zurquí","122182","18404","","23519","5959","6131","176195"
"2019","Junio     ","Zurquí","116153","18181","","21105","5878","5328","166645"
"2019","Mayo      ","Zurquí","111030","18436","","24001","5214","5106","163787"
"2019","Abril     ","Zurquí","127412","17683","","22886","6263","6352","180596"
"2019","Marzo     ","Zurquí","136281","20010","","26873","6535","6928","196627"
"2019","Febrero   ","Zurquí","124850","18362","","24646","6121","6333","180312"
"2019","Enero     ","Zurquí","137330","19607","","24804","5923","7083","194747"
"2018","Diciembre ","Zurquí","145824","17809","","20825","6794","7172","198424"
"2018","Noviembre ","Zurquí","121668","19179","","26648","5996","6312","179803"
